Class,Number Samples
m.01ghtz,125
m.015r9d,97
m.01ksss,77
m.014jk0,79
m.01lg_q2,101
m.01_8fp,91
m.01mr25f,115
m.014bh7,66
m.01mjdwj,48
m.01fx6h,103
m.01m89jz,37
m.015rxq,102
m.017ckq,57
m.015y7r,53
m.017rx_,55
m.018hxy,99
m.01_3yf,21
m.015bk6,65
m.016j4q,62
m.014fcb,86
m.01lk4sk,91
m.0149wl,76
m.013my_,105
m.016q1r,82
m.01lm61s,77
m.01hmpq,86
m.0168vx,95
m.016x2n,92
m.01m7hm,67
m.01m3ms5,70
m.01lbhw,81
m.01ddnt,50
m.012z4p,111
m.01m9r7j,59
m.01c_m_,45
m.01g9r9,59
m.01b11y,106
m.0116dvgh,96
m.01j5_1,74
m.01bmgb,60
m.012w9y,53
m.018fwb,130
m.01_8k1,6
m.01_j1t,103
m.01mr035,16
m.015s_3,39
m.01l8nfw,83
m.01541z,118
m.01_rlk,95
m.015htz,114
m.01_ml6,86
m.01hvjk,75
m.018s54,69
m.018q7,104
m.016sdz,42
m.01_l9k,71
m.01g1_m,95
m.01bwm5,116
m.01jxhsk,80
m.0121rx,93
m.01mk0ct,94
m.016v7h,12
m.01jmz5b,64
m.01kq8vt,62
m.01h_yd,62
m.01jylw,109
m.012b14,76
m.01byly,109
m.01m6k6z,82
m.01f_58,126
m.013p_0,79
m.011m33,92
m.01jrf3r,89
m.012z8_,83
m.011jy4,65
m.01mlm1j,86
m.01m1qkq,81
m.015882,94
m.01fnw9,79
m.01fwk3,108
m.01mkk1l,48
m.016wkh,107
m.01kp86,114
m.01djjk,65
m.0174gf,83
m.01jppm,56
m.01f0kx,87
m.01mh6tr,41
m.01jxsg,37
m.01cwpz,54
m.01fwgq,108
m.015pz3,58
m.01j_ydw,83
m.013c_g,75
m.01bkdc,104
m.01cgdq,104
m.01l9f23,47
m.01m4qj,87
m.016q4_,91
m.0130vq,85
m.014902,105
m.01cwcr,112
m.01fv1q,102
m.016tqw,100
m.013wg6,93
m.01l_yg,97
m.01d36y,72
m.01f7j9,91
m.01k0qs,41
m.01gw8b,112
m.01lkl2n,76
m.01lplp,51
m.01gkbj,61
m.01cd5l,32
m.01d8ny,97
m.0191cq,100
m.01lmd6,88
m.015vql,75
m.01gmbt,131
m.01ht0m9,77
m.01lggvf,54
m.01_qrn,84
m.01mlrn9,109
m.019w53,90
m.01lpk9p,71
m.01lbn3,70
m.01j29r,107
m.0164nb,111
m.01lpf1m,86
m.013sj4,88
m.018gl5,96
m.010p8p,83
m.016_js,98
m.017tnz,90
m.01jgrp,48
m.01507p,122
m.01bh6y,111
m.01c59y,78
m.0161sp,97
m.014wsb,62
m.013vtr,73
m.01lpr3t,61
m.01lf6pz,90
m.01dxx3,94
m.01fqmf,64
m.01kb2dp,89
m.01_kz4,12
m.017r1m,30
m.016yx_,86
m.01md8y2,98
m.0198hp,67
m.015pvh,109
m.01m49ft,108
m.014qvp,108
m.01lv3cf,42
m.01htd6,101
m.013xhr,104
m.015bw2,125
m.01kfnf,74
m.01l__3,96
m.015n3b,10
m.01ckfy,106
m.017rh4,106
m.01j050,79
m.01mqc_,106
m.0133xp,99
m.0134gv,101
m.016rwt,100
m.01gfvz,91
m.01m68mp,56
m.01f3g8,75
m.01_x1m,95
m.01gj8_,109
m.016mx_,91
m.0139t1,109
m.01fb92,79
m.01d4cb,73
m.01k14,60
m.012tjy,52
m.01dysq,26
m.01d0b1,77
m.01k5vnp,59
m.01gp8h,49
m.016hpl,119
m.01m9mp4,75
m.01hkhq,120
m.01_5y1,82
m.01dgvj,35
m.01ljrz,66
m.01fvdz,70
m.01mh3zn,61
m.01k916,68
m.01hry2,42
m.01lzffp,75
m.01m0mcz,92
m.01jy568,69
m.01lt5w,79
m.01mspl,109
m.01clg6,83
m.01m_sm,109
m.01lcpn,23
m.018_lb,127
m.01lpspw,64
m.01jxmlh,85
m.01l437,74
m.01h3md,107
m.0158tn,86
m.014kxv,84
m.01dbgj,178
m.01081,34
m.01_vrx,72
m.01gggl,105
m.015q7v,88
m.017hgl,47
m.01d9m2,79
m.01912s,63
m.01d8v3,42
m.01c315,38
m.015zm4,79
m.01cqz5,50
m.01fgd3,93
m.01ltbn,91
m.01jjqp,78
m.01l0rb,58
m.015jm7,19
m.018bkx,71
m.01ln6vk,104
m.016ggh,88
m.01c_3f,96
m.01kx_81,100
m.01mqwvx,56
m.0150bp,109
m.01mqhp2,98
m.014skb,100
m.01ft2_,85
m.01fhst,108
m.016lb3,107
m.01k1tqk,76
m.01h1r7,96
m.01fx5l,101
m.01jnc6b,84
m.01g57c,29
m.017j0j,19
m.01b1ff,36
m.015q43,111
m.019q8d,78
m.01lgylg,64
m.01lytgt,95
m.01m84j0,70
m.012h4q,29
m.013_gz,117
m.01lfs6h,112
m.0168cl,61
m.01h2kt,79
m.019sq6,75
m.01_kh4,26
m.01htbh,38
m.01_nww,47
m.01dxhr,58
m.01l00pg,100
m.014r93,113
m.012h65,88
m.0173lp,90
m.0195b9,57
m.01dfgl,124
m.019yjw,62
m.01b8ff,70
m.01hgwkr,87
m.01k2wsc,79
m.01515w,110
m.01d0lr,99
m.019pm_,120
m.01fg76,93
m.01lcxbb,65
m.0190g0,18
m.018144,63
m.01jd0k,95
m.01b_88,10
m.015nn6,97
m.01_rr3,106
m.01fwlc,62
m.018v_q,125
m.01_0d4,132
m.014cml,91
m.01mg1_k,46
m.01bclf,72
m.01m2rg9,71
m.019j8h,85
m.017f64,97
m.01lkn48,89
m.01bwd,84
m.01k70vv,85
m.01b588,84
m.01lrzng,92
m.01k9_1,58
m.0182hg,26
m.0187qd,57
m.013z2s,41
m.01mg1s0,67
m.01byb9,96
m.01k23t,101
m.0180tn,124
m.017v0v,51
m.017_xx,104
m.014nx0,58
m.01fgk,144
m.011w1p,78
m.01kv3hr,58
m.01jh0dt,2
m.017nhc,58
m.01k1vw,77
m.01mrp8y,91
m.013zm7,66
m.0131pc,94
m.010hn,98
m.01k9rnw,70
m.0130sy,100
m.01jyqm,108
m.014jm,162
m.016hk4,85
m.012czd,90
m.01hk1b,101
m.01kk7y,52
m.01kb202,59
m.01_9nx,83
m.019389,98
m.01_c6m,78
m.01lpck,29
m.01d47y,97
m.016t89,36
m.01bnr9,94
m.015mzl,74
m.01md3dn,47
m.0132lg,7
m.018phr,107
m.01cjys,15
m.01gs4n,22
m.01d086,71
m.012kk4,87
m.01kcx_w,36
m.01gswr,71
m.01mfm2t,72
m.016vg8,117
m.01f61r,78
m.01jcgy,88
m.015rp8,75
m.01b1d8,65
m.017fks,105
m.011p3,109
m.0192q3,100
m.01kpj93,66
m.01lw7sk,105
m.01kj5y6,97
m.0177s6,104
m.014ncl,12
m.01lfz2h,85
m.01jz8y,98
m.01lbkfd,91
m.01j07f,93
m.0114cfs7,116
m.014y0w,96
m.01cm8j,11
m.01ddty,63
m.01kzlf,32
m.01jqf61,89
m.01j9_y,95
m.01lb4pz,82
m.019l42,100
m.01f761,120
m.01b53g,69
m.01fyp6,22
m.01dtd5,48
m.01lf36,51
m.01kp9_8,49
m.014gr,108
m.013qhn,94
m.014rt3,84
m.01dx68,98
m.01gj5v,100
m.015r43,74
m.0123f1,20
m.01bffy,69
m.01g1zb,92
m.017tkv,101
m.016_mj,100
m.017tmn,10
m.013wz9,109
m.01hg8c,87
m.01438g,97
m.012zmn,37
m.01fpnr,130
m.01635v,96
m.015wks,72
m.01j6mff,72
m.01mk_h5,87
m.0154hr,80
m.016z51,97
m.01jmv99,94
m.01d8n4,109
m.017ft0,88
m.01ldxb,94
m.014kg4,99
m.019w90,48
m.01m_c_8,115
m.013d27,107
m.018v_8,82
m.01cbt3,98
m.019wlg,106
m.01l1b90,82
m.018s7v,99
m.01k71q,55
m.01mg7pp,36
m.01gkrv,89
m.01ccw4,67
m.017_l1,96
m.01k109,68
m.01fps9,90
m.018tvs,47
m.01g4jk,11
m.019wr3,9
m.013846,98
m.017_0d,104
m.01l6fbf,96
m.015cx2,157
m.01m8tcf,89
m.016hnv,113
m.017r70,83
m.015g36,89
m.017cgg,39
m.01g6bk,70
m.01k1rx,79
m.01jk45,27
m.018lb1,114
m.01l7qw,95
m.0165n5,81
m.01jbx1,103
m.01ksnr,82
m.01f7v_,71
m.01bdn6,70
m.016k_v,116
m.01lm8s_,80
m.01mpf1c,104
m.0149pz,73
m.01ky48,63
m.015l51,91
m.01hkf1,42
m.01k7qh,93
m.01cv3n,82
m.01k_r5b,83
m.012gdw,108
m.017kxm,61
m.01ltgjc,45
m.011z69,103
m.01mj9rz,66
m.0136cv,102
m.01lyxk,95
m.0181ph,77
m.01cthg,110
m.01k839,68
m.01mm3qv,48
m.01d4ls,45
m.016cff,97
m.013_4m,95
m.01kyns,97
m.01_wkb,45
m.0121fw,76
m.01mk49k,75
m.018y0w,94
m.01dfc0,12
m.01ff4r,74
m.01kv4mb,55
m.01k_0fp,92
m.01jkqw,6
m.01200d,83
m.018fwv,80
m.014r8b,87
m.017vkk,85
m.0192mn,115
m.013v1_,59
m.01l19b_,45
m.01cmfd,73
m.018w6s,72
m.01l8yjv,81
m.0149vp,60
m.018gsl,70
m.01bygs,86
m.01kd1d,84
m.01d_gy,75
m.01kf47,85
m.0163ww,27
m.01491d,63
m.01hjrp,88
m.01csyt,108
m.01m9mff,83
m.01l68n5,86
m.01271h,100
m.01cjqx,80
m.01_jzl,11
m.01kwjm,108
m.01fjj4,51
m.01j6w04,72
m.01l2fn,127
m.012ck8,57
m.014qk9,23
m.01lqr4q,93
m.015ksl,148
m.019yt,86
m.019nvy,78
m.01f4nk,49
m.011_pk,94
m.018qhj,44
m.01ctxf,84
m.01f99_,75
m.01k2c2,96
m.0178_j,105
m.01b610,95
m.0160zv,5
m.01_pll,80
m.01lynp0,14
m.012981,76
m.0168dy,99
m.014y6,102
m.01hw4n,86
m.01k1qb8,62
m.01bgqv,96
m.0132t8,93
m.016sff,111
m.01f9mq,124
m.017j2b,92
m.01_1wr,85
m.01j4p1,54
m.012yg1,84
m.01ks8,41
m.019wrw,103
m.015dy6,29
m.01js_p,94
m.01l70rq,110
m.012pxw,73
m.01_0vk,89
m.01gvyp,97
m.01m4ck,14
m.01l9c3z,80
m.01lvy5,4
m.0181r3,85
m.017fgp,81
m.01j6jd,74
m.01fd57,109
m.013ykx,80
m.015sxw,85
m.0199cb,77
m.01dqcq,69
m.016s0m,105
m.015z4j,124
m.017r5g,87
m.01_rp3,62
m.01hj1k,94
m.01_fz1,89
m.01kzzyf,90
m.01d0_6,96
m.01l1l6_,70
m.013zk9,79
m.01_jmm,48
m.015d0d,11
m.01jh8xf,48
m.014g79,84
m.01ltq7,38
m.011qm2,89
m.01mny4_,78
m.01c9yk,72
m.018gqj,100
m.0152gd,22
m.017hw4,60
m.01kgsl,87
m.01_hv7,92
m.0149k5,56
m.01kd57,69
m.01jgqg,8
m.01mf7yq,64
m.01ckql,90
m.01js29,19
m.017dkq,100
m.01hd6k,81
m.018ry5,98
m.01m5344,71
m.01782n,97
m.01k358,69
m.01hbc7,94
m.018kd0,60
m.01czs5,97
m.01gjns,86
m.01kfj9y,88
m.01jq08_,33
m.01kkqp,87
m.01jxc1h,44
m.01_4f5,55
m.01msq1,99
m.01byy,51
m.01hljt,57
m.0171lb,88
m.0199mw,69
m.01l67q3,72
m.011jl5,88
m.01m_ts5,91
m.01846t,90
m.01djzn,59
m.015196,80
m.01ch_h,49
m.018klb,98
m.01ksr1,114
m.01cg1r,34
m.01kh0br,76
m.016jf0,98
m.0146dm,46
m.01d2l1,24
m.01dpsv,122
m.013ybx,90
m.01ks_9v,44
m.01mqh5,117
m.01fzgk,97
m.01jb26,120
m.01h05c,95
m.01g562,97
m.01lt_w,89
m.012dhf,97
m.01fq0x,45
m.01m0y85,80
m.01hxkv,100
m.01mf_pg,96
m.01hynd,7
m.01mrm_h,72
m.018_3q,89
m.01716f,76
m.01c2sl,88
m.01mpvdt,62
m.01g714,57
m.01g3fb,73
m.01b6hy,48
m.01kddm,107
m.01478p,98
m.017hvb,57
m.015l76,80
m.015xsn,72
m.01l95z,106
m.0148qq,88
m.01dxcd,35
m.01_51j,79
m.01dgtv,70
m.01lm1s,98
m.01jjx5,73
m.01_lby,101
m.011h_h,46
m.015q2t,75
m.01jf5g,59
m.012b26,17
m.01mhg9n,101
m.01ldff,92
m.017mvw,62
m.01mdjyw,63
m.01h9ls,97
m.0185gs,62
m.01l9pz,97
m.016_d_,33
m.017f42,2
m.012hsb,90
m.01_nx8,122
m.01kqqq,68
m.01g6wc,96
m.01m8l_k,93
m.01ks37,35
m.016ntp,101
m.01mm04v,83
m.014dr4,73
m.01bk4z,93
m.01m3g0l,61
m.01cj5h,79
m.018gcf,57
m.013bdj,27
m.0135g_,103
m.019l73,108
m.01k6r_j,82
m.017rcc,88
m.01j0183,86
m.011_x9,95
m.014d02,91
m.01b_y8,85
m.017gd_,76
m.0134fr,86
m.018jnn,101
m.0138rf,93
m.01hctw,60
m.016hrc,97
m.01j_cl,98
m.01820y,120
m.01lgh7_,96
m.01k0k7,106
m.018qqy,69
m.01lz579,46
m.01lf820,102
m.015kbd,98
m.01mll3s,73
m.015xnd,98
m.01mr90n,94
m.01f2f8,91
m.01ltl_,106
m.01cy59,71
m.01270s,124
m.016hvl,79
m.01lgvmb,64
m.01lgcg,71
m.01dml6,121
m.01__2_,38
m.01k_njh,73
m.01jv4,89
m.01km7d,55
m.01m15br,86
m.01ddr7,99
m.01_k71,92
m.013b7z,108
m.01_9y5,94
m.01m8714,40
m.015nr6,94
m.012w36,92
m.01668y,61
m.01llhq,100
m.015mgc,37
m.019hvg,72
m.01chdy,88
m.01j4ld,104
m.015kvb,57
m.01g1yy,60
m.01c0kj,75
m.01_8tz,69
m.01m9rlq,73
m.01m9svh,89
m.014nfw,94
m.01g4w3,104
m.0155mx,29
m.01mgd8l,53
m.01f0sq,108
m.017yvm,78
m.016fnv,97
m.01gkk8,97
m.01h2lk,81
m.01jj8b,74
m.01fkv0,103
m.0127m7,109
m.01ls7p,20
m.015dsk,107
m.01k5mjv,79
m.0148sl,90
m.0194r1,110
m.01f72z,92
m.01lcn4,132
m.01k0k66,70
m.01kxs2t,83
m.0152cw,96
m.01lrhdl,61
m.01ggxh,70
m.01mff8l,72
m.012x9d,89
m.01lzgqt,53
m.015_5p,102
m.01hr3q,90
m.01krsc,91
m.019ghj,92
m.01m6jb5,79
m.017gxw,109
m.01d1lc,72
m.01bl47,33
m.01ldw4,87
m.019wxs,99
m.01k0jf,110
m.015nd2,94
m.012c8f,124
m.01lxjp7,69
m.01bw7s,34
m.01kfjb,89
m.01_8yz,97
m.01l17wj,38
m.015qxn,46
m.01gzm2,96
m.0151xv,94
m.01d2wb,43
m.01kxlt0,80
m.015zjx,107
m.014h_s,65
m.01k1lc,34
m.015j8x,91
m.017g2y,84
m.01mr8n,50
m.015dsz,88
m.013zyw,96
m.018pkl,42
m.0151zx,92
m.01_skn,97
m.01jntwk,99
m.01mhwc8,81
m.01j7dk,110
m.01lrwz,102
m.01bkbg,87
m.01gs1r,96
m.01ldt5n,86
m.01k03ss,64
m.01lbpj,52
m.012j2r,97
m.018348,85
m.014g6v,81
m.01j_rlm,93
m.01l8n7l,106
m.019c7v,29
m.018f_y,99
m.01ldmj,99
m.01dhhq,90
m.01g24t,95
m.01k67w,76
m.015mfy,93
m.01lr6_l,100
m.01bm8f,63
m.01lpt3c,22
m.01f0yh,97
m.01gfdh,78
m.01bcs9,75
m.013qwl,79
m.01l_br0,98
m.01k1bkq,66
m.01mqbq,56
m.01k5xlr,82
m.01mc598,73
m.017yd2,98
m.01mb0qk,57
m.01hv1y,48
m.01cll7,55
m.01f817,90
m.01dvms,104
m.01k2zvf,83
m.012vhn,93
m.01cmn5,94
m.01hk6q,47
m.01m29m,59
m.016qrb,75
m.01frtv,70
m.01fnb2,85
m.019g5s,106
m.01j46m7,79
m.01jd6m,88
m.01f873,92
m.013s1b,70
m.01_n9m,28
m.01lk985,66
m.01mfmqw,28
m.013sjh,43
m.01lfv62,51
m.0178p9,99
m.01mc85n,89
m.01lhgq,70
m.01lxmgd,66
m.017hqj,74
m.0184gj,108
m.01ky6yy,27
m.01d_qc,133
m.01c1y0,103
m.01_8wt,93
m.01bsvr,44
m.01hy33,96
m.01dlbx,68
m.01j590z,89
m.014vnb,97
m.01klmw,112
m.01ldd_,83
m.019thg,19
m.01fy7m,82
m.017fxp,85
m.01g5kv,126
m.01k6p0l,69
m.016w46,9
m.017hz6,76
m.0150j5,91
m.01k53x,113
m.014qjt,64
m.01b4y1,114
m.0196yy,22
m.01jr5h,89
m.01j0s0s,90
m.012tmz,103
m.01fnd0,97
m.01m6tls,89
m.01gxz,94
m.01mmq1y,37
m.01ms1ty,76
m.01_qx7,69
m.015cpn,75
m.01lb6g,66
m.014tkl,102
m.012201,79
m.017bxq,87
m.01bjk2,63
m.011zfz,109
m.015bnf,91
m.01ljn2,115
m.01b990,56
m.01c3ww,99
m.015q9_,78
m.01fm99,157
m.01451j,80
m.01ld28,77
m.01kgv4,95
m.01m01gk,31
m.015pkc,111
m.01h2n3,33
m.01bx41,67
m.01kdtn3,45
m.01mpd1v,52
m.0181x9,89
m.013y2b,98
m.01hb49,32
m.01brs4,108
m.01hqc2,32
m.01mh702,99
m.01lr9l7,48
m.01jy51,102
m.01fwj8,119
m.01386_,92
m.015qlm,105
m.018dng,46
m.013rvq,200
m.012krs,16
m.01lnlm5,88
m.01f6nb,98
m.01mt49_,49
m.01_6ly,92
m.01lp91h,113
m.01k_n63,60
m.01lg_s,61
m.01_587,78
m.01k_qd_,87
m.01mljgv,109
m.01lfs89,67
m.014zfs,95
m.01hqd4,72
m.01fctj,77
m.01m3xg,82
m.01jqmb,107
m.01ljt4,71
m.01hw6_,59
m.01gtsh,80
m.01d_m_,100
m.01_5vm,93
m.01m_gh,99
m.01dbgw,110
m.01538k,87
m.01fp8j,43
m.01bm_w,93
m.018_t0,95
m.012ky3,109
m.01k8xb9,93
m.01d3j7,89
m.01_xwf,105
m.014lyb,83
m.011hdn,89
m.01glc5,79
m.01f6vb,105
m.01m3sqj,4
m.01d5tv,17
m.01c7p_,124
m.010p3,112
m.01flt1,15
m.01jm_5,103
m.016jdb,59
m.01dcvr,111
m.01k15n_,70
m.016mj4,105
m.012v1t,109
m.01jd53,85
m.01m99ql,89
m.01lyv1d,80
m.01mghp3,74
m.018fyy,120
m.0162mc,73
m.01k53f,116
m.01653g,84
m.017bk6,105
m.01c59k,122
m.016959,82
m.01mccw3,79
m.0191h5,75
m.01hx6y,92
m.01h644,84
m.019x9z,94
m.014hdb,104
m.018gjx,100
m.013p_j,65
m.015nhn,92
m.01lqkw_,81
m.01d8mq,42
m.0136g9,89
m.01ll5k,78
m.01h96s,90
m.018lx_,97
m.014sh1,61
m.014j38,78
m.014_4y,111
m.019f2f,93
m.011vw3,77
m.0192f0,89
m.01jxnmy,62
m.019m_t,14
m.01lrpb,90
m.01d6t8,63
m.01jxnyf,19
m.01l0rq,88
m.01g257,113
m.0171qz,63
m.01lmln,82
m.01c89p,55
m.0169v2,106
m.01kgfh,59
m.01f4jj,106
m.0181kg,39
m.01jsqfc,55
m.0166_q,95
m.015v98,106
m.01l03w2,69
m.019yb2,35
m.017j_z,42
m.01_87c,90
m.01kxf5,104
m.01lnrm5,77
m.0173qb,68
m.0134qh,95
m.01hhx0,116
m.01bxfr,99
m.018ptv,101
m.01j82c,176
m.012yf6,63
m.01772q,78
m.01kj8w,72
m.01cfrs,63
m.01c_xx,92
m.01mdbch,59
m.01jzlj,66
m.01ghf,49
m.01gwg3,37
m.01mc3js,102
m.012rth,75
m.01lkbf,77
m.01fn2z,90
m.0159tc,87
m.012zk9,61
m.017fp0,84
m.01cd43,39
m.018436,99
m.01k33c,64
m.016j55,63
m.01_5l6,95
m.018yvh,117
m.01m5nph,83
m.0138r2,42
m.019fxc,62
m.01hxz2,89
m.01dmm2,46
m.01cp_j,90
m.015bt8,76
m.01h5f8,108
m.01734j,62
m.01b867,20
m.018nqc,38
m.01cj12,58
m.016vz1,83
m.013wwd,82
m.012yhd,104
m.01_2tr,36
m.015x_k,66
m.0132nf,82
m.01h4lh,78
m.01c1px,16
m.01h923,63
m.01m4rfh,78
m.0165ys,90
m.01742l,93
m.012zxr,58
m.016vcp,91
m.015qzv,87
m.0154d7,109
m.012t9m,102
m.01hcj2,123
m.01k1r96,65
m.01_4qg,63
m.017f7w,71
m.01gw4f,99
m.0175w3,96
m.016j_c,108
m.01m7nwf,75
m.018gm,55
m.01gc7h,117
m.01gm4g,89
m.016mgj,100
m.019jp1,83
m.018pp0,25
m.014dq7,91
m.01j851,85
m.01gy7r,119
m.01452g,42
m.01lxw7k,81
m.01lbkv3,47
m.019j9k,81
m.01f77v,42
m.01kp66,122
m.017bwk,155
m.01kbx2,83
m.01f_9r,64
m.01938t,119
m.01300z,109
m.013pm5,93
m.0167km,100
m.01jqj_,57
m.01mskc3,69
m.01mjjvk,73
m.014g17,84
m.01jyq3,103
m.01km2p,64
m.01d8yn,119
m.018qz3,62
m.01f9yn,97
m.01byh3,25
m.01chwz,106
m.0150p7,106
m.0142q1,89
m.01c8y4,80
m.01b8tj,91
m.017bd,86
m.01_xsz,109
m.01cqhn,80
m.013pyd,60
m.017frf,80
m.01gcf0,113
m.01_t7m,101
m.012s5j,122
m.01glv,98
m.0151fv,106
m.011_7j,93
m.01hdht,109
m.016hv6,77
m.01lw44g,61
m.01jq611,82
m.018dsd,45
m.01mpc_k,39
m.01bb5v,134
m.01hb11,60
m.011_3d,77
m.01dt_1,88
m.01cwsb,4
m.01lm70,47
m.01fjg_,118
m.01l65cd,72
m.013rnm,57
m.01lwmm1,33
m.01m0jlc,95
m.01m0qn,93
m.01bh_8,95
m.01k293,14
m.01kbfq,93
m.0165ky,87
m.013zps,63
m.01mmslz,110
m.012m1c,117
m.01d39w,101
m.01czrv,70
m.012zrl,103
m.012_lx,74
m.01j7jm,103
m.0141qv,98
m.01lzx5,35
m.01g8t_,63
m.01bk8x,41
m.01mqg0,115
m.01gq0b,112
m.01h_mv,86
m.0153vt,88
m.01902h,127
m.01bvxx,75
m.0191kj,83
m.0156y1,90
m.015wgw,109
m.0153y1,102
m.018rzs,100
m.01jc90,110
m.01ltvyq,98
m.01298s,58
m.01k2qv,102
m.01cwx3,30
m.01hmy0,66
m.01lk16_,49
m.01g3g6,60
m.01d2p8,106
m.01kym3,67
m.017_1f,56
m.015m45,101
m.016fzn,13
m.01j241,73
m.017lhw,67
m.01cqj3,90
m.01fr15,68
m.01mbt1x,99
m.01lhy_,40
m.01d1nj,83
m.01dhpj,95
m.01jqthq,91
m.01bqmx,106
m.019z7q,78
m.01l3lwr,31
m.0150my,62
m.0133yt,88
m.012kdb,89
m.016yqj,107
m.01htsy,57
m.0126rp,104
m.01hvpq8,91
m.01mn651,73
m.01hdtr,46
m.0120mb,68
m.01ffgx,88
m.016vxj,90
m.013y4q,100
m.01bhjd,94
m.01_t_w,31
m.01ht8z,35
m.0137s4,93
m.014bps,92
m.017tk3,102
m.01hkck,109
m.013339,103
m.01l47f5,95
m.01m0qgw,7
m.017fj_,77
m.01cqbg,53
m.01jrhn4,102
m.01df1y,91
m.01kk6sb,83
m.018q81,101
m.019j01,28
m.014bn_,111
m.01htn,50
m.01k9lpl,89
m.01k03k4,73
m.0188nj,85
m.01jqr_5,90
m.0170vn,70
m.0195c5,84
m.018j3w,85
m.01d5wx,30
m.01fvnh,95
m.012v2x,83
m.01_l7n,235
m.0147j9,70
m.01_4pp,75
m.01m698g,64
m.0191ym,100
m.01_6rz,40
m.016yrf,27
m.01h_sl,88
m.014zn0,104
m.013y2s,100
m.01lpjyj,97
m.01ckd2,8
m.01k2rjc,83
m.01bt87,103
m.01b7zc,66
m.018n7d,81
m.017fl5,98
m.015m2v,72
m.014n52,27
m.01hbyt,86
m.01m55z,52
m.01c_qf,68
m.0150t6,92
m.01722j,87
m.012741,28
m.01_lss,13
m.019y3g,109
m.01mlkv5,108
m.01cb9n,13
m.01j1bkk,96
m.0165cp,96
m.01lf43g,62
m.01f5q5,115
m.01kq92,95
m.01_pp0,78
m.01cmz2,111
m.01cm53,67
m.014vk4,92
m.01mq34p,117
m.01mlxdv,53
m.019smn,92
m.01csrl,110
m.01m5d17,35
m.01hb24,85
m.01csvq,102
m.0198j2,88
m.01jr8p6,91
m.01ms3q6,70
m.0169yd,87
m.01bc0q,45
m.01brds,67
m.01kcfk9,75
m.0125qk,90
m.01cfpq,89
m.012sp0,77
m.01m3q2,89
m.01l7xcj,39
m.014508,81
m.01kb1dx,69
m.011y88,24
m.018qkz,89
m.017__g,91
m.0190tn,17
m.01mnhw1,72
m.01b1c2,90
m.01cp3s,56
m.019gdm,98
m.01mj3tb,98
m.01m0b8c,73
m.01m6yc9,68
m.0144_b,96
m.01d47g,93
m.012pjh,83
m.01mm508,66
m.01gwf,63
m.014rtk,93
m.01lmpq,64
m.01lg8y,22
m.012sk_,76
m.01llw2,38
m.017vfn,99
m.01kfq_h,106
m.015cbq,88
m.017vn8,99
m.0183dl,97
m.011lhy,124
m.015ty7,35
m.01d554,85
m.01lcz7,73
m.01hfh_,88
m.01d3g9,95
m.013s1t,109
m.01mg32m,74
m.015_2l,99
m.01_b96,66
m.01fwxl,80
m.0127fx,70
m.01crkg,78
m.01ckv2,136
m.0183f9,53
m.014b7s,75
m.016twm,48
m.01gk2f,53
m.0193cw,105
m.01b4wd,96
m.018lx8,93
m.01cv_g,108
m.018txz,48
m.01dyd9,82
m.01htsrr,102
m.016gkf,91
m.01cjvb,62
m.01lgzz,97
m.01m4fhv,53
m.012w05,87
m.017kb5,99
m.01lzrlx,61
m.01_fs6,32
m.01drxp,85
m.01j_gs,103
m.01ldtbt,53
m.0182q2,112
m.012lyg,107
m.01f9pf,105
m.01djcw,100
m.015mpv,73
m.01bldq,101
m.01bf9m,95
m.017t2z,73
m.01fgq5,101
m.01kbjk,41
m.01jyjs,94
m.01m_c47,58
m.01f9_n,62
m.019_p3,78
m.01dqh6,92
m.011hm1,98
m.01dlny,107
m.019hwz,20
m.017tj7,79
m.0174z2,92
m.018l_2,14
m.0196x7,73
m.01__yp,141
m.01713c,107
m.0154pg,36
m.01_yqg,46
m.01l62vh,68
m.01cg67,74
m.01l6ymj,62
m.0140ly,74
m.01lnq_p,94
m.01lx2l,106
m.01_9wg,91
m.015687,23
m.01cygd,97
m.01dhw,80
m.01l3mbb,96
m.01ltrs,101
m.0173vx,81
m.0183w9,107
m.01l77p,103
m.01l_1g7,98
m.012x86,86
m.0127tk,118
m.018q7p,103
m.016lvy,41
m.01br9_,44
m.01cwft,93
m.019hqt,1
m.01ghdw,98
m.01lr4p,106
m.01_z4l,50
m.0187y5,99
m.01mbtgc,84
m.01kxvc2,104
m.01_r34,89
m.01k532,73
m.015dlv,109
m.0137g1,118
m.015qgb,98
m.019697,79
m.010wty2t,73
m.0197gg,92
m.01g4zr,75
m.01mhxs2,101
m.01c4by,94
m.01gfvl,91
m.0178j_,56
m.0140v2,73
m.01mkb4v,109
m.01kkcz1,65
m.01ltns,69
m.01271_,84
m.01_96x,37
m.012xbq,69
m.01l6qfs,103
m.0163kf,105
m.014428,92
m.01dgwg,77
m.017ht2,52
m.013ylm,122
m.014dv4,77
m.01k_fz2,94
m.0142n8,96
m.01lh91,46
m.01lpgx_,67
m.01c581,57
m.01m76z,89
m.015khm,105
m.01k9qk,83
m.01k_v7d,50
m.0135nb,92
m.017hty,67
m.01lyczd,57
m.01_r_2,70
m.01jnyc,102
m.01kbjh2,115
m.018j4c,48
m.01k64f,91
m.016200,62
m.01mrnp,58
m.0124t,84
m.01gm7l,97
m.01gqpq,41
m.01bnxl,96
